‌ অ্যান্ডেজ ‌	অ্যান্ডেজ
রাত তিনটার দিকে	তিন
তিনটার দিকে আগুন	দিক
দিকে আগুন নিয়ন্ত্রণে	আগুন
আগুন নিয়ন্ত্রণে আনেন।	নিয়ন্ত্রণ
নিয়ন্ত্রণে আনেন। ফায়ার	আনে।
আনেন। ফায়ার সার্ভিস	ফায়ার
ফায়ার সার্ভিস নীলফামারী	সার্ভিস
সার্ভিস নীলফামারী স্টেশনের	নীলফামারী
নীলফামারী স্টেশনের জ্যেষ্ঠ	স্টেশন
স্টেশনের জ্যেষ্ঠ কর্মকর্তা	জ্যেষ্ঠ
জ্যেষ্ঠ কর্মকর্তা এনামুল	কর্মকর্তা
কর্মকর্তা এনামুল হক	এনামুল
এনামুল হক জানান,	হক
হক জানান, খবর	জানা,
জানান, খবর পেয়ে	খবর
খবর পেয়ে ঘটনাস্থলে	পেয়ে
পেয়ে ঘটনাস্থলে পৌঁছে	ঘটনাস্থল
ঘটনাস্থলে পৌঁছে রাত	পৌঁছে
পৌঁছে রাত সাড়ে	রাত
রাত সাড়ে তিনটায়	সাড়ে
সাড়ে তিনটায় আগুন	তিন
তিনটায় আগুন নিয়ন্ত্রণে	আগুন
আগুন নিয়ন্ত্রণে আনা	নিয়ন্ত্রণ
নিয়ন্ত্রণে আনা সম্ভব	আনা
আনা সম্ভব হলেও	সম্ভব
সম্ভব হলেও আমেনা	হল
হলেও আমেনা বেওয়াকে	আমেনা
আমেনা বেওয়াকে বাঁচানো	বেওয়া
বেওয়াকে বাঁচানো সম্ভব	বাঁচানো
বাঁচানো সম্ভব হয়নি।	সম্ভব
সম্ভব হয়নি। নীলফামারী	হয়নি।
হয়নি। নীলফামারী সদর	নীলফামারী 
নীলফামারী সদর থানার	সদর
সদর থানার ওসি	থানা
থানার ওসি মো.	ওসি
ওসি মো. শাহজাহান	মো.
মো. শাহজাহান পাশা	শাহজাহান
শাহজাহান পাশা বলেন,	পাশা
পাশা বলেন, আমেনা	বল,
বলেন, আমেনা বেওয়া	আমেনা
আমেনা বেওয়া পক্ষাঘাতগ্রস্ত	বেওয়া
বেওয়া পক্ষাঘাতগ্রস্ত হওয়ায়	পক্ষাঘাত
পক্ষাঘাতগ্রস্ত হওয়ায় ঘর	হও
হওয়ায় ঘর থেকে	ঘর
ঘর থেকে বের	থেকে
থেকে বের হতে	বের
বের হতে পারেননি।	হতে
হতে পারেননি। এ	পারেননি।
পারেননি। এ কারণে	এ
এ কারণে তিনি	কারণ
কারণে তিনি অগ্নিদগ্ধ	তিনি
তিনি অগ্নিদগ্ধ হয়ে	অগ্নিদগ্ধ
অগ্নিদগ্ধ হয়ে মারা	হয়
হয়ে মারা গেছেন।	মারা
মারা গেছেন। এ	গেছেন।
গেছেন। এ ঘটনায়	এ
এ ঘটনায় সদর	ঘটনা
ঘটনায় সদর থানায়	সদর
সদর থানায় একটি	থানা
থানায় একটি অপমৃত্যুর	এক
একটি অপমৃত্যুর মামলা	অপমৃত্যু
অপমৃত্যুর মামলা হয়েছে।	মামলা
মামলা হয়েছে।‌	হয়।
‌মংলা বন্দরের	মংলা
মংলা বন্দরের শিল্পাঞ্চল	বন্দর
বন্দরের শিল্পাঞ্চল এলাকায়	শিল্পাঞ্চল
শিল্পাঞ্চল এলাকায় গতকাল	এলাকা
এলাকায় গতকাল বৃহস্পতিবার	গতকাল
গতকাল বৃহস্পতিবার সেনা	বৃহস্পতিবার
বৃহস্পতিবার সেনা কল্যাণ	সেনা
সেনা কল্যাণ সংস্থার	কল্যাণ
কল্যাণ সংস্থার মংলা	সংস্থা
সংস্থার মংলা সিমেন্ট	মংলা
মংলা সিমেন্ট ফ্যাক্টরির	সিমেন্ট
সিমেন্ট ফ্যাক্টরির নির্মাণাধীন	ফ্যাক্টরি
ফ্যাক্টরির নির্মাণাধীন একটি	নির্মাণাধীন
নির্মাণাধীন একটি গুদামের	এক
একটি গুদামের ছাদ	গুদাম
গুদামের ছাদ ধসে	ছাদ
ছাদ ধসে ছয়জন	ধস
ধসে ছয়জন নিহত	ছয়
ছয়জন নিহত এবং	নিহত
নিহত এবং ৩৮	এবং
এবং ৩৮ জন	৩৮
৩৮ জন আহত	জন
জন আহত হয়েছেন।	আহত
আহত হয়েছেন। নিহত	হয়।
হয়েছেন। নিহত ব্যক্তিদের	নিহত
নিহত ব্যক্তিদের মধ্যে	ব্যক্তি
ব্যক্তিদের মধ্যে তিনজনের	মধ্য
মধ্যে তিনজনের পরিচয়	তিন
তিনজনের পরিচয় মিলেছে।	পরিচয়
পরিচয় মিলেছে। তাঁরা	মিল।
মিলেছে। তাঁরা হলেন	তাঁরা
তাঁরা হলেন রামপাল	হল
হলেন রামপাল উপজেলার	রামপাল
রামপাল উপজেলার রাজনগর	উপজেলা
উপজেলার রাজনগর গ্রামের	রাজনগর
রাজনগর গ্রামের বাসিন্দা	গ্রাম
গ্রামের বাসিন্দা মাহারুফ	বাসিন্দা
বাসিন্দা মাহারুফ হাওলাদার,	মাহারুফ
মাহারুফ হাওলাদার, গৌরম্ভা	হাওলাদার,
হাওলাদার, গৌরম্ভা গ্রামের	গৌরম্ভা
গৌরম্ভা গ্রামের আমির	গ্রাম
গ্রামের আমির আকন্দ	আমি
আমির আকন্দ এবং	আকন্দ
আকন্দ এবং খুলনা	এবং
এবং খুলনা মহানগরের	খুলনা
খুলনা মহানগরের বাগমারা	মহানগর
মহানগরের বাগমারা এলাকার	বাগমারা
বাগমারা এলাকার আল	এলাকা
এলাকার আল আমিন।	আল
আল আমিন। ঘটনা	আমিন।
আমিন। ঘটনা তদন্ত	ঘটনা
ঘটনা তদন্ত করে	তদন্ত
তদন্ত করে দেখার	কর
করে দেখার জন্য	দেখা
দেখার জন্য সেনা	জন্য
জন্য সেনা কল্যাণ	সেনা
সেনা কল্যাণ সংস্থার	কল্যাণ
কল্যাণ সংস্থার পক্ষ	সংস্থা
সংস্থার পক্ষ থেকে	পক্ষ
পক্ষ থেকে তিন	থেকে
থেকে তিন সদস্যের	তিন
তিন সদস্যের তদন্ত	সদস্য
সদস্যের তদন্ত কমিটি	তদন্ত
তদন্ত কমিটি গঠন	কমিটি
কমিটি গঠন করা	গঠন
গঠন করা হয়েছে।	করা
করা হয়েছে। ঘটনার	হয়।
হয়েছে। ঘটনার পরপরই	ঘটনা
ঘটনার পরপরই নৌবাহিনী,	পরপর
পরপরই নৌবাহিনী, কোস্টগার্ড,	নৌবাহিনী,
নৌবাহিনী, কোস্টগার্ড, পুলিশ	কোস্টগার্ড,
কোস্টগার্ড, পুলিশ ও	পুলিশ
পুলিশ ও ফায়ার	ও
ও ফায়ার সার্ভিসের	ফায়ার
ফায়ার সার্ভিসের কর্মীরা	সার্ভিস
সার্ভিসের কর্মীরা উদ্ধারকাজ	কর্মী
কর্মীরা উদ্ধারকাজ শুরু	উদ্ধারকাজ
উদ্ধারকাজ শুরু করেন।	শুরু
শুরু করেন। ধসে	কর
করেন। ধসে পড়া	ধস
ধসে পড়া ছাদের	পড়া
পড়া ছাদের নিচে	ছাদ
ছাদের নিচে আরও	নিচ
নিচে আরও ৩০-৪০	আর
আরও ৩০-৪০ জন	৩০-৪০
৩০-৪০ জন শ্রমিক	জন
জন শ্রমিক রয়েছেন	শ্রমিক
শ্রমিক রয়েছেন বলে	রয়েছে
রয়েছেন বলে দাবি	বল
বলে দাবি করেছেন	দাবি
দাবি করেছেন আহত	কর
করেছেন আহত শ্রমিক	আহত
আহত শ্রমিক ও	শ্রমিক
শ্রমিক ও স্থানীয়	ও
ও স্থানীয় লোকজন।	স্থানীয়
স্থানীয় লোকজন। রাতে	লোক
লোকজন। রাতে সর্বশেষ	রাত
রাতে সর্বশেষ খবর	সর্বশেষ
সর্বশেষ খবর পাওয়া	খবর
খবর পাওয়া পর্যন্ত	পাওয়া
পাওয়া পর্যন্ত উদ্ধারকাজ	পর্যন্ত
পর্যন্ত উদ্ধারকাজ চলছিল।	উদ্ধারকাজ
উদ্ধারকাজ চলছিল। সেনা	চল।
চলছিল। সেনা কল্যাণ	সেনা
সেনা কল্যাণ সংস্থার	কল্যাণ
কল্যাণ সংস্থার মালিকানায়	সংস্থা
সংস্থার মালিকানায় ১৯৯৪	মালিকানা
মালিকানায় ১৯৯৪ সালে	১৯৯৪
১৯৯৪ সালে পশুর	সাল
সালে পশুর নদের	পশু
পশুর নদের তীরে	নদ
নদের তীরে প্রতিষ্ঠিত	তীর
তীরে প্রতিষ্ঠিত মংলা	প্রতিষ্ঠিত
প্রতিষ্ঠিত মংলা সিমেন্ট	মংলা
মংলা সিমেন্ট ফ্যাক্টরি	সিমেন্ট
সিমেন্ট ফ্যাক্টরি এলিফ্যান্ট	ফ্যাক্টরি
ফ্যাক্টরি এলিফ্যান্ট ব্র্যান্ড	এলিফ্যান্ট
এলিফ্যান্ট ব্র্যান্ড নামে	ব্র্যান্ড
ব্র্যান্ড নামে সিমেন্ট	নাম
নামে সিমেন্ট বাজারজাত	সিমেন্ট
সিমেন্ট বাজারজাত শুরু	বাজারজাত
বাজারজাত শুরু করে।	শুরু
শুরু করে। কারখানাটি	কর।
করে। কারখানাটি গুদাম	কারখানা
কারখানাটি গুদাম নির্মাণের	গুদাম
গুদাম নির্মাণের জন্য	নির্মাণ
নির্মাণের জন্য ১৪২	জন্য
জন্য ১৪২ কোটি	১৪২
১৪২ কোটি টাকায়	কোটি
কোটি টাকায় চীনের	টাকা
টাকায় চীনের সিএনবিএম	চীন
চীনের সিএনবিএম ইন্টারন্যাশনাল	সিএনবিএম
সিএনবিএম ইন্টারন্যাশনাল ইঞ্জিনিয়ারিং	ইন্টারন্যাশনাল
ইন্টারন্যাশনাল ইঞ্জিনিয়ারিং কোম্পানি	ইঞ্জিনিয়ারিং
ইঞ্জিনিয়ারিং কোম্পানি লিমিটেডকে	কোম্পানি
কোম্পানি লিমিটেডকে কার্যাদেশ	লিমিটেড
লিমিটেডকে কার্যাদেশ দেয়।	কার্যাদেশ
কার্যাদেশ দেয়। ২০১৪	দেয়।
দেয়। ২০১৪ সালের	২০১৪
২০১৪ সালের ১০	সাল
সালের ১০ নভেম্বর	১০
১০ নভেম্বর ভবনটির	নভেম্বর
নভেম্বর ভবনটির কাজ	ভবন
ভবনটির কাজ শুরু	কাজ
কাজ শুরু হয়।	শুরু
শুরু হয়। চলতি	হয়।
হয়। চলতি বছরের	চলতি
চলতি বছরের ১০	বছর
বছরের ১০ নভেম্বর	১০
১০ নভেম্বর ভবনের	নভেম্বর
নভেম্বর ভবনের নির্মাণকাজ	ভবন
ভবনের নির্মাণকাজ শেষ	নির্মাণকাজ
নির্মাণকাজ শেষ হওয়ার	শেষ
শেষ হওয়ার কথা।	হওয়া
হওয়ার কথা। পরবর্তী	কথা
কথা। পরবর্তী সময়ে	পরবর্তী
পরবর্তী সময়ে চীনা	সময়
সময়ে চীনা কোম্পানির	চীনা
চীনা কোম্পানির কাছ	কোম্পানি
কোম্পানির কাছ থেকে	কাছ
কাছ থেকে বাংলাদেশ	থেকে
থেকে বাংলাদেশ আইটিসিএল	বাংলাদেশ
বাংলাদেশ আইটিসিএল নামক	আইটিসিএল
আইটিসিএল নামক অপর	নামক
নামক অপর একটি	অপর
অপর একটি কোম্পানি	এক
একটি কোম্পানি এ	কোম্পানি
কোম্পানি এ কাজের	এ
এ কাজের সাব-ঠিকাদার	কাজ
কাজের সাব-ঠিকাদার হিসেবে	সাব-ঠিকাদার
সাব-ঠিকাদার হিসেবে কাজ	হিসেব
হিসেবে কাজ শুরু	কাজ
কাজ শুরু করে।	শুরু
শুরু করে। বাংলাদেশি	কর।
করে। বাংলাদেশি এই	বাংলাদেশ
বাংলাদেশি এই কোম্পানি	এই
এই কোম্পানি গতকাল	কোম্পানি
কোম্পানি গতকাল সকালে	গতকাল
গতকাল সকালে মোট	সকাল
সকালে মোট ১৮০	মোট
মোট ১৮০ জন	১৮০
১৮০ জন শ্রমিক	জন
জন শ্রমিক নিয়ে	শ্রমিক
শ্রমিক নিয়ে ১৪	নিয়ে
নিয়ে ১৪ দশমিক	১৪
১৪ দশমিক ৫	দশমিক
দশমিক ৫ মিটার	৫
৫ মিটার উচ্চতাবিশিষ্ট	মিটার
মিটার উচ্চতাবিশিষ্ট এ	উচ্চতা
উচ্চতাবিশিষ্ট এ ভবনের	এ
এ ভবনের ছাদ	ভবন
ভবনের ছাদ ঢালাইয়ের	ছাদ
ছাদ ঢালাইয়ের কাজ	ঢালাই
ঢালাইয়ের কাজ শুরু	কাজ
কাজ শুরু করে।	শুরু
শুরু করে। এঁদের	কর।
করে। এঁদের মধ্যে	এদের
এঁদের মধ্যে ৬০	মধ্য
মধ্যে ৬০ থেকে	৬০
৬০ থেকে ৭০	থেকে
থেকে ৭০ জন	৭০
৭০ জন শ্রমিক	জন
জন শ্রমিক ছাদে	শ্রমিক
শ্রমিক ছাদে ছিলেন	ছাদ
ছাদে ছিলেন এবং	ছিলেন
ছিলেন এবং অন্যরা	এবং
এবং অন্যরা ভবনের	অন্য
অন্যরা ভবনের নিচে	ভবন
ভবনের নিচে কাজ	নিচ
নিচে কাজ করছিলেন।	কাজ
কাজ করছিলেন। কয়রার	কর।
করছিলেন। কয়রার শ্রমিক	কয়রা
কয়রার শ্রমিক মিজান	শ্রমিক
শ্রমিক মিজান ও	মিজান
মিজান ও খুলনার	ও
ও খুলনার দোলখোলার	খুলনা
খুলনার দোলখোলার শ্রমিক	দোলখোলা
দোলখোলার শ্রমিক দেলোয়ার	শ্রমিক
শ্রমিক দেলোয়ার জানান,	দেলোয়ার
দেলোয়ার জানান, গতকাল	জানা,
জানান, গতকাল বেলা	গতকাল
গতকাল বেলা একটার	বেলা
বেলা একটার দিকে	এক
একটার দিকে ভবনটির	দিক
দিকে ভবনটির চারতলার	ভবন
ভবনটির চারতলার নির্মাণকাজ	চারতলা
চারতলার নির্মাণকাজ চলার	নির্মাণকাজ
নির্মাণকাজ চলার সময়	চলা
চলার সময় হঠাৎ	সময়
সময় হঠাৎ ছাদটি	হঠাৎ
হঠাৎ ছাদটি ধসে	ছাদ
ছাদটি ধসে পড়ে।	ধস
ধসে পড়ে। তাঁরা	পড়ে।
পড়ে। তাঁরা দাবি	তাঁরা
তাঁরা দাবি করেন,	দাবি
দাবি করেন, নির্মাণকাজের	কর
করেন, নির্মাণকাজের ত্রুটির	নির্মাণকাজ
নির্মাণকাজের ত্রুটির কারণে	ত্রুটি
ত্রুটির কারণে এ	কারণ
কারণে এ দুর্ঘটনা	এ
এ দুর্ঘটনা ঘটেছে।	দুর্ঘটনা
দুর্ঘটনা ঘটেছে। ফায়ার	ঘটে
ঘটেছে। ফায়ার সার্ভিসের	ফায়ার
ফায়ার সার্ভিসের খুলনা	সার্ভিস
সার্ভিসের খুলনা ও	খুলনা
খুলনা ও বরিশাল	ও
ও বরিশাল বিভাগীয়	বরিশাল
বরিশাল বিভাগীয় উপপরিচালক	বিভাগীয়
বিভাগীয় উপপরিচালক মিজানুর	উপপরিচালক
উপপরিচালক মিজানুর রহমান	মিজানুর
মিজানুর রহমান জানান,	রহমান
রহমান জানান, ঘটনার	জানা,
জানান, ঘটনার পরপরই	ঘটনা
ঘটনার পরপরই তিনজন	পরপর
পরপরই তিনজন শ্রমিককে	তিন
তিনজন শ্রমিককে মৃত	শ্রমিক
শ্রমিককে মৃত এবং	মৃত
মৃত এবং ৩৮	এবং
এবং ৩৮ জন	৩৮
৩৮ জন শ্রমিককে	জন
জন শ্রমিককে আহত	শ্রমিক
শ্রমিককে আহত অবস্থায়	আহত
আহত অবস্থায় উদ্ধার	অবস্থা
অবস্থায় উদ্ধার করা	উদ্ধার
উদ্ধার করা হয়।	করা
করা হয়। রাত	হয়।
হয়। রাত আটটায়	রাত
রাত আটটায় এবং	আটটা
আটটায় এবং সর্বশেষ	এবং
এবং সর্বশেষ রাত	সর্বশেষ
সর্বশেষ রাত পৌনে	রাত
রাত পৌনে ১১টায়	পৌন
পৌনে ১১টায় ধ্বংসস্তূপ	১১
১১টায় ধ্বংসস্তূপ থেকে	ধ্বংসস্তূপ
ধ্বংসস্তূপ থেকে দুই	থেকে
থেকে দুই শ্রমিককে	দুই
দুই শ্রমিককে মৃত	শ্রমিক
শ্রমিককে মৃত অবস্থায়	মৃত
মৃত অবস্থায় উদ্ধার	অবস্থা
অবস্থায় উদ্ধার করা	উদ্ধার
উদ্ধার করা হয়।	করা
করা হয়। এ	হয়।
হয়। এ ছাড়া	এ
এ ছাড়া খুলনা	ছাড়া 
ছাড়া খুলনা মেডিকেল	খুলনা
খুলনা মেডিকেল কলেজ	মেডিকেল
মেডিকেল কলেজ হাসপাতালে	কলেজ
কলেজ হাসপাতালে নেওয়ার	হাসপাতাল
হাসপাতালে নেওয়ার পথে	নেওয়া
নেওয়ার পথে একজন	পথ
পথে একজন শ্রমিকের	এক
একজন শ্রমিকের মৃত্যু	শ্রমিক
শ্রমিকের মৃত্যু হয়।	মৃত্যু
মৃত্যু হয়। মংলা	হয়।
হয়। মংলা সিমেন্ট	মংলা
মংলা সিমেন্ট কারখানার	সিমেন্ট
সিমেন্ট কারখানার উপমহাপরিচালক	কারখানা
কারখানার উপমহাপরিচালক (ডিডিজি)	উপমহাপরিচালক
উপমহাপরিচালক (ডিডিজি) ক্যাপ্টেন	(ডিডিজি)
(ডিডিজি) ক্যাপ্টেন সৈয়দ	ক্যাপ্টেন
ক্যাপ্টেন সৈয়দ হেলাল	সৈয়দ
সৈয়দ হেলাল হোসেন	হেলাল
হেলাল হোসেন বলেন,	হোসেন
হোসেন বলেন, আহত	বল,
বলেন, আহত শ্রমিকদের	আহত
আহত শ্রমিকদের উদ্ধার	শ্রমিক
শ্রমিকদের উদ্ধার করে	উদ্ধার
উদ্ধার করে মংলা	কর
করে মংলা বন্দর	মংলা
মংলা বন্দর কর্তৃপক্ষের	বন্দর
বন্দর কর্তৃপক্ষের হাসপাতাল,	কর্তৃপক্ষ
কর্তৃপক্ষের হাসপাতাল, রামপাল	হাসপাতাল
হাসপাতাল, রামপাল ও	রামপাল
রামপাল ও খুলনা	ও
ও খুলনা মেডিকেল	খুলনা
খুলনা মেডিকেল কলেজ	মেডিকেল
মেডিকেল কলেজ হাসপাতালে	কলেজ
কলেজ হাসপাতালে চিকিৎসার	হাসপাতাল
হাসপাতালে চিকিৎসার জন্য	চিকিৎসা
চিকিৎসার জন্য ভর্তি	জন্য
জন্য ভর্তি করা	ভর্তি
ভর্তি করা হয়েছে।	করা
করা হয়েছে।‌	হয়
‌সিরাজগঞ্জে ট্রাকের	সিরাজগঞ্জ
সিরাজগঞ্জে ট্রাকের ধাক্কায়	ট্রাক
ট্রাকের ধাক্কায় পুলিশের	 ধাক্কা
ধাক্কায় পুলিশের পিকআপ	পুলিশ
পুলিশের পিকআপ ভ্যান	পিকআপ
পিকআপ ভ্যান থেকে	ভ্যান
ভ্যান থেকে ছিটকে	থেকে
থেকে ছিটকে পড়ে	ছিটকে
ছিটকে পড়ে মোস্তাফিজুর	পড়ে
পড়ে মোস্তাফিজুর রহমান	মোস্তাফিজুর
মোস্তাফিজুর রহমান (২৮)	রহমান
রহমান (২৮) নামের	(২৮)
(২৮) নামের এক	নাম
নামের এক কনস্টেবল	এক
এক কনস্টেবল নিহত	কনস্টেবল
কনস্টেবল নিহত হয়েছেন।	নিহত
নিহত হয়েছেন। ঢাকা-বগুড়া	হয়।
হয়েছেন। ঢাকা-বগুড়া মহাসড়কের	 ঢাকা-বগুড়া
ঢাকা-বগুড়া মহাসড়কের কামারখন্দ	মহাসড়ক
মহাসড়কের কামারখন্দ উপজেলার	কামারখন্দ
কামারখন্দ উপজেলার নলকা	উপজেলা
উপজেলার নলকা নামক	নলকা
নলকা নামক স্থানে	নামক
নামক স্থানে বুধবার	স্থান
স্থানে বুধবার রাত	বুধবার
বুধবার রাত সাড়ে	রাত
রাত সাড়ে তিনটার	সাড়ে
সাড়ে তিনটার দিকে	তিন
তিনটার দিকে এ	দিক
দিকে এ ঘটনা	এ
এ ঘটনা ঘটে।	ঘটনা
ঘটনা ঘটে। এতে	ঘটে।
ঘটে। এতে এক	এতে
এতে এক এএসআইসহ	এক
এক এএসআইসহ চারজন	এএসআই
এএসআইসহ চারজন আহত	চার
চারজন আহত হন।	আহত
আহত হন। মোস্তাফিজুর	হন।
হন। মোস্তাফিজুর সিরাজগঞ্জ	মোস্তাফিজুর
মোস্তাফিজুর সিরাজগঞ্জ পুলিশ	সিরাজগঞ্জ
সিরাজগঞ্জ পুলিশ লাইনে	পুলিশ
পুলিশ লাইনে কর্মরত	লাইন
লাইনে কর্মরত ছিলেন।	কর্মরত
কর্মরত ছিলেন। তাঁর	ছিল।
ছিলেন। তাঁর বাড়ি	তাঁর
তাঁর বাড়ি বগুড়ার	বাড়ি
বাড়ি বগুড়ার সারিয়াকান্দি	বগুড়া
বগুড়ার সারিয়াকান্দি উপজেলায়।	সারিয়াকান্দি
সারিয়াকান্দি উপজেলায়। বঙ্গবন্ধু	উপজেলা।
উপজেলায়। বঙ্গবন্ধু সেতুর	বঙ্গবন্ধু
বঙ্গবন্ধু সেতুর পশ্চিম	সেতু
সেতুর পশ্চিম থানার	পশ্চিম
পশ্চিম থানার ওসি	থানা
থানার ওসি হেলাল	ওসি
ওসি হেলাল উদ্দিন	হেলাল
হেলাল উদ্দিন জানান,	উদ্দিন
উদ্দিন জানান, পিকআপটি	জানা,
জানান, পিকআপটি কড্ডার	পিকআপ
পিকআপটি কড্ডার মোড়	কড্ডা
কড্ডার মোড় থেকে	মোড়
মোড় থেকে নলকা	থেকে
থেকে নলকা যাচ্ছিল।	নলকা
নলকা যাচ্ছিল। ট্রাকটি	যাচ্ছে।
যাচ্ছিল। ট্রাকটি পিকআপকে	ট্রাক
ট্রাকটি পিকআপকে ধাক্কা	পিকআপ
পিকআপকে ধাক্কা দিলে	ধাক্কা
ধাক্কা দিলে পুলিশ	দিল
দিলে পুলিশ সদস্যরা	পুলিশ
পুলিশ সদস্যরা রাস্তায়	সদস্য
সদস্যরা রাস্তায় ছিটকে	 রাস্তা
রাস্তায় ছিটকে পড়েন।	ছিটকে
ছিটকে পড়েন। এ	পড়ে।
পড়েন। এ সময়	এ
এ সময় মোস্তাফিজুর	সময়
সময় মোস্তাফিজুর রহমান	মোস্তাফিজুর
মোস্তাফিজুর রহমান ট্রাকের	রহমান
রহমান ট্রাকের চাকায়	ট্রাক
ট্রাকের চাকায় পিষ্ট	চাকা
চাকায় পিষ্ট হন।	পিষ্ট
পিষ্ট হন। হেলাল	হন।
হন। হেলাল উদ্দিন	হেলাল
হেলাল উদ্দিন জানান,	উদ্দিন
উদ্দিন জানান, কনস্টেবল	জানা,
জানান, কনস্টেবল শহিদুল	কনস্টেবল
কনস্টেবল শহিদুল ইসলামকে	শহিদুল
শহিদুল ইসলামকে আশঙ্কাজনক	ইসলাম
ইসলামকে আশঙ্কাজনক অবস্থায়	আশঙ্কাজনক
আশঙ্কাজনক অবস্থায় হাসপাতালে	অবস্থা
অবস্থায় হাসপাতালে ভর্তি	হাসপাতাল
হাসপাতালে ভর্তি করা	ভর্তি
ভর্তি করা হয়েছে।	করা
করা হয়েছে। অন্য	হয়।
হয়েছে। অন্য তিনজন	অন্য
অন্য তিনজন আশঙ্কামুক্ত।	তিন
তিনজন আশঙ্কামুক্ত।‌	আশঙ্কা
‌গাজীপুরের শ্রীপুরে	গাজীপুর
গাজীপুরের শ্রীপুরে ট্রেন-ট্রাকের	শ্রীপুর
শ্রীপুরে ট্রেন-ট্রাকের সংঘর্ষে	ট্রেন-ট্রাক
ট্রেন-ট্রাকের সংঘর্ষে তিনজন	সংঘর্ষ
সংঘর্ষে তিনজন নিহত	তিন
তিনজন নিহত ও	নিহত
নিহত ও সাতজন	ও
ও সাতজন আহত	সাত
সাতজন আহত হয়েছেন।	আহত
আহত হয়েছেন। নিহত	হয়।
হয়েছেন। নিহত তিনজনই	নিহত
নিহত তিনজনই ট্রেনের	তিন
তিনজনই ট্রেনের যাত্রী	ট্রেন
ট্রেনের যাত্রী ছিলেন।	যাত্রী
যাত্রী ছিলেন। আজ	ছিল।
ছিলেন। আজ বৃহস্পতিবার	আজ
আজ বৃহস্পতিবার বেলা	বৃহস্পতিবার
বৃহস্পতিবার বেলা ১১টার	বেলা
বেলা ১১টার দিকে	১১
১১টার দিকে শ্রীপুর	দিক
দিকে শ্রীপুর উপজেলার	শ্রীপুর
শ্রীপুর উপজেলার সাতখামাইর	উপজেলা
উপজেলার সাতখামাইর রেলওয়ে	সাতখামাইর
সাতখামাইর রেলওয়ে স্টেশনের	রেলওয়ে
রেলওয়ে স্টেশনের অদূরে	স্টেশন
স্টেশনের অদূরে মাইজপাড়া	অদূরে
অদূরে মাইজপাড়া এলাকায়	মাইজপাড়া
মাইজপাড়া এলাকায় এ	এলাকা
এলাকায় এ ঘটনা	এ
এ ঘটনা ঘটে।	ঘটনা
ঘটনা ঘটে। নিহত	ঘটে।
ঘটে। নিহত তিনজন	নিহত
নিহত তিনজন হলেন	তিন
তিনজন হলেন শিখর	হলেন
হলেন শিখর আহমেদ	শিখর
শিখর আহমেদ (২০),	আহমেদ
আহমেদ (২০), ট্রেনের	(২০),
(২০), ট্রেনের হকার	ট্রেন
ট্রেনের হকার মোস্তফা	হকার
হকার মোস্তফা কামাল	মোস্তফা
মোস্তফা কামাল (৫০)	কামাল
কামাল (৫০) ও	(৫০)
(৫০) ও জাহাঙ্গীর	ও
ও জাহাঙ্গীর আলম	জাহাঙ্গীর
জাহাঙ্গীর আলম (৪০)।	আলম
আলম (৪০)। তাঁদের	(৪০)
(৪০)। তাঁদের মধ্যে	তাঁদের
তাঁদের মধ্যে শিখরের	মধ্য
মধ্যে শিখরের বাড়ি	শিখর
শিখরের বাড়ি ময়মনসিংহের	বাড়ি
বাড়ি ময়মনসিংহের গফরগাঁও	ময়মনসিংহ
ময়মনসিংহের গফরগাঁও উপজেলার	গফরগাঁও
গফরগাঁও উপজেলার নিগুয়ারী,	উপজেলা
উপজেলার নিগুয়ারী, মোস্তফার	 নিগুয়ারী,
নিগুয়ারী, মোস্তফার বাড়ি	মোস্তফা
মোস্তফার বাড়ি শহীদনগর	বাড়ি
বাড়ি শহীদনগর ও	শহীদনগর
শহীদনগর ও জাহাঙ্গীরের	ও
ও জাহাঙ্গীরের বাড়ি	জাহাঙ্গীর
জাহাঙ্গীরের বাড়ি গোলাঘাট	বাড়ি
বাড়ি গোলাঘাট গ্রামে।	গোলাঘাট
গোলাঘাট গ্রামে। শ্রীপুর	গ্রাম।
গ্রামে। শ্রীপুর মডেল	শ্রীপুর
শ্রীপুর মডেল থানার	মডেল
মডেল থানার ভারপ্রাপ্ত	থানা
থানার ভারপ্রাপ্ত কর্মকর্তা	ভারপ্রাপ্ত
ভারপ্রাপ্ত কর্মকর্তা (ওসি)	কর্মকর্তা
কর্মকর্তা (ওসি) মহসীন-উল	(ওসি)
(ওসি) মহসীন-উল কাদিরের	মহসীন-উল
মহসীন-উল কাদিরের ভাষ্য,	কাদির
কাদিরের ভাষ্য, জামালপুর	ভাষ্য,
ভাষ্য, জামালপুর থেকে	জামালপুর
জামালপুর থেকে ছেড়ে	থেকে
থেকে ছেড়ে আসা	ছেড়ে
ছেড়ে আসা কমিউটার	আসা
আসা কমিউটার ট্রেনের	কমিউটার
কমিউটার ট্রেনের সঙ্গে	ট্রেন
ট্রেনের সঙ্গে ট্রেনের	সঙ্গে
সঙ্গে ট্রেনের লাইন	ট্রেন
ট্রেনের লাইন ঘেঁষে	লাইন
লাইন ঘেঁষে দাঁড়িয়ে	ঘেঁষে
ঘেঁষে দাঁড়িয়ে থাকা	দাঁড়া
দাঁড়িয়ে থাকা একটি	থাকা
থাকা একটি খালি	এক
